Order Date,SKU,Item,Variant,Quantity,Delivery Date,Delivery Time
2024-12-27 04:38:47+00:00,DC8036/RusticWH,Union 80cm Chest of 6 Drawers,Assembly,1.0,9 Jul 2025,1 PM - 5 PM
2024-12-27 04:38:47+00:00,DC1606/RusticWH,Verona 1.6m 3x2 Dresser Sideboard,Assembly,1.0,9 Jul 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,CTM10909,Custom Furniture,Custom,1.0,14 Aug 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,CTM10909,Custom Furniture,Custom,1.0,14 Aug 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,CTM10909 (SB6001/3021) - Black plastic legs,Custom Furniture,Custom,2.0,14 Aug 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,,Metal Legs,Upgrade,1.0,14 Aug 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,CU,Soft Close Hinge Upgrade,Upgrade,4.0,14 Aug 2025,1 PM - 5 PM
2025-01-28 07:26:02+00:00,SC5,Vegas 1.2m Oak 4-Door Shoe Cabinet,Assembly,1.0,14 Aug 2025,1 PM - 5 PM
2025-04-06 05:15:30+00:00,Zara/Divan/Queen/PL-012,Zara Fabric Bedframe (PL-012 Dark Brown),Queen / Divan,2.0,17 Jul 2025,10 AM - 1 PM
2025-04-06 05:15:30+00:00,Zara/Storage/Queen/PL-012,Zara Fabric Bedframe (PL-012 Dark Brown),Queen / Storage (Hydraulic),1.0,17 Jul 2025,10 AM - 1 PM
2025-04-14 11:48:29+00:00,TV1671/3045,Linwood 1.6m Maple TV Console Cabinet,Assembly,1.0,,
2025-04-14 11:48:29+00:00,SB8083/3045-use blum hinges,Richie 80cm Maple High Shoe Cabinet,Assembly,2.0,,
2025-04-14 11:48:29+00:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,,
2025-04-18 06:47:50+00:00,CTM11319 (TV1565/3045)-Soft close Slider,Custom Furniture,Custom,1.0,5 Aug 2025,5 PM - 8 PM
2025-04-18 06:47:50+00:00,CU,Soft Close Hinge Upgrade,Upgrade,2.0,5 Aug 2025,5 PM - 8 PM
2025-04-18 06:47:50+00:00,SC15,Vegas 90cm 3-Door Shoe Cabinet,Assembly,1.0,5 Aug 2025,5 PM - 8 PM
2025-04-18 06:47:50+00:00,,Soft Closing Slider Upgrade,Sliders / Soft Close,2.0,5 Aug 2025,5 PM - 8 PM
2025-05-16 10:28:32+00:00,CTM11445,Custom Furniture,Custom,1.0,11 Jul 2025,2 PM - 6 PM
2025-05-16 10:28:32+00:00,,Soft Closing Slider Upgrade,Sliders / Soft Close,5.0,11 Jul 2025,2 PM - 6 PM
2025-05-17 06:09:43+00:00,CTM11446,Custom Furniture,Custom,1.0,9 Jul 2025,11 AM - 3 PM
2025-05-18 10:53:57+00:00,CTM11457B,Replace handle screws ,Custom,1.0,18 Jul 2025,4 PM - 6 PM
2025-05-18 10:53:57+00:00,CTM11457B,Custom Furniture,Custom,1.0,1 Jul 2025,2 PM - 6 PM
2025-05-20 12:35:51+00:00,CTM11465A,Custom,Assembly,1.0,9 Jul 2025,2 PM - 6 PM
2025-05-20 12:35:51+00:00,CTM11465B,Custom,Assembly,1.0,9 Jul 2025,2 PM - 6 PM
2025-05-20 12:35:51+00:00,CU,Soft Close Hinge Upgrade,Upgrade,2.0,9 Jul 2025,2 PM - 6 PM
2025-05-20 15:47:43+00:00,CTM11467 (Assemble on-site),Custom Furniture,Custom,1.0,17 Jul 2025,2 PM - 6 PM
2025-05-20 15:47:43+00:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,17 Jul 2025,2 PM - 6 PM
2025-05-21 15:23:10+00:00,CTM11470,Custom Furniture,Custom,1.0,17 Jul 2025,5 PM - 8 PM
2025-05-24 11:10:38+00:00,Essential(noeurotop)/SuperSingle,"Essential 10.5"" Pocket Spring Mattress",Super Single,1.0,4 Jul 2025,11 AM - 3 PM
2025-05-28 05:06:24+00:00,CH,Handle Upgrade,Upgrade,5.0,18 Jul 2025,10 AM - 12 PM
2025-05-28 05:06:24+00:00,CTM11495,Custom Furniture,Custom,1.0,18 Jul 2025,10 AM - 12 PM
2025-05-29 04:43:37+00:00,CTM11497 (SB6001/Maple),Custom Furniture,Custom,1.0,11 Jul 2025,4 PM - 8 PM
2025-05-30 08:48:48+00:00,Elizabeth/Divan/Single (Custom width 89cm),Elizabeth Fabric Divan Bedframe,Divan / Single,1.0,18 Jul 2025,10 AM - 1 PM
2025-05-31 02:32:27+00:00,CTM11504 (SS8030/Oak),Custom Furniture,Custom,1.0,9 Jul 2025,1 PM - 5 PM
2025-05-31 02:32:27+00:00,CTM11504 (SS6020/Oak),Custom Furniture,Custom,1.0,9 Jul 2025,1 PM - 5 PM
2025-05-31 04:40:25+00:00,WD4021/Pine,Alto 40cm Modular Wardrobe,Assembly,2.0,11 Jul 2025,6 PM - 8 PM
2025-05-31 04:40:25+00:00,WD8003/Pine,Vela 80cm Modular Wardrobe,Assembly,2.0,11 Jul 2025,6 PM - 8 PM
2025-05-31 06:35:46+00:00,Vigor/SuperSingle,"Luxe 13"" Ice Cool Latex Pocket Spring Mattress",Super Single,1.0,4 Jul 2025,10 AM - 1 PM
2025-05-31 06:35:46+00:00,Miranda/Storage/SuperSingle/PL017,Deliver bottom panel,Assembly,1.0,18 Jul 2025,11 AM - 3 PM
2025-05-31 09:45:53+00:00,T1211/3045,Pixel Work Desk,Assembly,1.0,25 Jul 2025,10 AM - 1 PM
2025-05-31 12:41:25+00:00,CTM11512 (DC8036/Pine),Custom Furniture,Custom,1.0,11 Jul 2025,1 PM - 5 PM
2025-06-01 07:27:10+00:00,SB1048/3075-Orion13 cushion,Vernetta 100cm Walnut Sliding Shoe Bench with Cushion,Assembly,1.0,18 Jul 2025,2 PM - 6 PM
2025-06-01 07:38:26+00:00,DC1408/3045WH,Alexis 1.4m Maple/White 4x2 Dresser,Assembly,1.0,17 Jul 2025,1 PM - 5 PM
2025-06-01 07:38:26+00:00,DC8036/3045WH,Union 80cm Chest of 6 Drawers,Assembly,1.0,17 Jul 2025,1 PM - 5 PM
2025-06-01 08:02:37+00:00,,Legs Upgrade,14.5cm Wood,1.0,9 Jul 2025,4 PM - 8 PM
2025-06-01 08:02:37+00:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,9 Jul 2025,4 PM - 8 PM
2025-06-01 08:02:37+00:00,SC5-NO SOFT CLOSE,Vegas 1.2m Oak Shoe Cabinet,Assembly,1.0,9 Jul 2025,4 PM - 8 PM
2025-06-01 08:02:37+00:00,CTM11519 (TV1650/1002)-Walnut wood legs,Custom Furniture,Custom,1.0,9 Jul 2025,4 PM - 8 PM
2025-06-01 08:41:59+00:00,Miranda/Storage/Single/Omi02,Miranda Fabric Divan Bedframe,Storage (Hydraulic) / Single,2.0,26 Jun 2025,
2025-06-01 11:29:05+00:00,CTM11523 (SB8311/Espresso),Custom Furniture,Custom,1.0,9 Jul 2025,10 AM - 1 PM
2025-06-01 14:36:09+00:00,CTM11524,Custom Furniture,Custom,1.0,17 Jul 2025,2 PM - 6 PM
2025-06-02 03:02:10+00:00,CU,Soft Close Hinge Upgrade,Upgrade,1.0,13 Jun 2025,4 PM - 8 PM
2025-06-03 05:59:14+00:00,BS9001/3075,Super 90cm Walnut Short Bookcase,Assembly,1.0,12 Sep 2025,
