Order Date,SKU,Item,Variant,Quantity,Value,Delivery Date,Delivery Time
2025-09-08 15:05:33+08:00,SB8322/3036,Tomi 80cm Pine Storage Cabinet - Pine / Assembly,Pine / Assembly,1,389.0,,
2025-09-08 15:05:33+08:00,,Legs Upgrade - 10cm Black PVC,10cm Black PVC,1,,,
2025-09-08 15:05:33+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-08 14:32:01+08:00,WD8003/3036-AD,Vela 80cm Modular Wardrobe - Pine / Assembly,Pine / Assembly,2,929.1,,
2025-09-08 14:32:01+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,2,,,
2025-09-08 13:09:53+08:00,TV1650/3101-AD,Paisley V2 1.6m Ash TV Console Cabinet - Ash / Assembly,Ash / Assembly,1,264.0,,
2025-09-07 19:51:51+08:00,SC5/WAL,Vegas 1.2m Walnut 4-Door Shoe Cabinet,,1,204.82,,
2025-09-07 19:51:51+08:00,,Legs Upgrade - Black to Silver PVC,Black to Silver PVC,1,,,
2025-09-07 19:51:51+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-07 16:43:46+08:00,TV1672/3075-AD,Linwood Walnut 1.6m TV Console Cabinet - Walnut / Assembly,Walnut / Assembly,1,501.6,,
2025-09-07 16:43:46+08:00,SC18/WAL,Texas 1.2m Walnut Shoe Cabinet,,1,,,
2025-09-07 16:43:46+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-07 16:29:42+08:00,SC15(X2)/WAL,Vegas Walnut 90cm Wide 1.62cm High Shoe Cabinet,,1,279.0,,
2025-09-07 16:29:42+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-07 16:15:31+08:00,DC1408/3045WH,Alexis 1.4m Maple/White 4x2 Dresser - Maple/White / Assembly,Maple/White / Assembly,1,739.1,,
2025-09-07 16:15:31+08:00,SC15(X2),Vegas Oak 90cm Wide 1.62m High Shoe Cabinet,,1,,,
2025-09-07 16:15:31+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-07 14:50:26+08:00,DC8036/3021WH-AD,Union 80cm Chest of 6 Drawers - Rustic White / Assembly,Rustic White / Assembly,1,399.0,,
2025-09-07 12:04:38+08:00,SB1048/3036,Vernetta 100cm Pine Sliding Shoe Bench with Cushion - Pine / Assembly,Pine / Assembly,1,293.02,,
2025-09-06 23:00:12+08:00,SC15,Vegas 90cm Oak Shoe Cabinet,,1,149.0,,
2025-09-06 22:00:12+08:00,SR7/3036WH(Premium)-AD,Hamburg 1.6m Pine/White Sideboard - Pine/White / Assembly,Pine/White / Assembly,1,318.15,,
2025-09-06 18:32:22+08:00,SB1003/3018WH,Cardiff 100cm Oak/White Sliding-Door Shoe Cabinet - Oak White / Assembly,Oak White / Assembly,1,322.42,,
2025-09-06 18:32:22+08:00,,Legs Upgrade - 8cm Silver PVC,8cm Silver PVC,1,,,
2025-09-06 18:04:19+08:00,SC18/WAL,Texas 1.2m Walnut Shoe Cabinet,,1,199.0,,
2025-09-06 18:04:19+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-06 17:02:10+08:00,SB1204/3075-AD,Osaka 1.2m Walnut XL Shoe Cabinet - Walnut / Assembly,Walnut / Assembly,1,740.05,,
2025-09-06 17:02:10+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-06 17:02:10+08:00,,Legs Upgrade - 15cm Metal,15cm Metal,1,,,
2025-09-06 14:53:14+08:00,SB1283/3064-AD,Richmond 1.2m Espresso Shoe Cabinet - Espresso / Assembly,Espresso / Assembly,1,329.0,,
2025-09-06 14:53:14+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-06 13:33:24+08:00,SC18/WAL,Texas 1.2m Walnut Shoe Cabinet,,1,165.62,,
2025-09-05 20:18:17+08:00,SS4001WD/3036,Denver 40cm Pine Bookcase with Door - Pine / Assembly,Pine / Assembly,1,293.02,,
2025-09-05 18:04:35+08:00,B16LD-NK23/Storage/Falcon/King,Winter Storage Bedframe - King / Plush Fabric,King / Plush Fabric,1,861.42,,
2025-09-05 15:17:36+08:00,SC5,Vegas 1.2m Oak Shoe Cabinet,,1,165.62,,
2025-09-05 10:26:59+08:00,SC5,Vegas 1.2m Oak Shoe Cabinet,,1,199.0,,
2025-09-05 10:26:59+08:00,CU-1,Soft Close Hinge Upgrade - Upgrade / Soft Close,Upgrade / Soft Close,1,,,
2025-09-04 20:51:37+08:00,DC1289/3075,Nora 60cm 4-Drawer Walnut Chest of Drawers - Walnut / Assembly,Walnut / Assembly,1,381.22,,
2025-09-04 20:51:37+08:00,,Soft Closing Slider Upgrade - Sliders / Soft Close,Sliders / Soft Close,3,,,
2025-09-04 18:46:03+08:00,SC15(X2),Vegas Oak 90cm Wide 1.62m High Shoe Cabinet,,1,615.6,,
